LRLRRRLRRLRLLRRRLRRLLRRRLLRLRRLLRRRLRLRRRLRRLRRLRRLLLLRRRLRRLRRRLRRRLRRRLRLRRRLRLLRRRLLRLRRRLRRRLRLRRLLRLLRRLRLLRRRLLRRLRLLLRLRLRLLRRRLRLRLRRLRRRLRRLRLRRRLRRRLRRRLLLLRLLRRLLRRRLRRLRRLLRRLRRRLLRRLLLRRRLRLRLLRRLRRRLRRLRRRLLRLRRRLRLLRLLRRRLRRLLRLRRRLRRLRRRLRRLRRLRRRLRRLRRRR

DQS = (CCN, PNF)
GST = (MBG, LFG)
SQF = (KCM, KCM)
NXD = (DCX, PKH)
LMN = (NTT, LJM)
MTQ = (DHL, PVN)
DDR = (TGF, RFT)
HHV = (KXC, CMQ)
JLX = (VSK, XPM)
MLD = (BNF, FGL)
RCQ = (TNS, MTQ)
LPT = (FFD, RVM)
GNV = (TQV, RBP)
DTG = (QKC, GBN)
QRM = (FTV, JJG)
PJN = (FQD, CMN)
FTV = (PCN, FHH)
LBN = (XHT, MNB)
LXF = (CBQ, DLB)
FRL = (DTF, SQD)
TMD = (HLR, MRQ)
PKH = (MSC, BLM)
FJB = (FRV, QPL)
JNS = (GHQ, MXC)
XMH = (NHH, DLT)
FRX = (SDF, THQ)
CVB = (BXQ, TDM)
BRV = (XDQ, GLR)
HRV = (SBB, QGT)
CFC = (XHT, MNB)
FKB = (PTG, NKC)
VJN = (PKQ, CKN)
NBB = (JVX, PBR)
JRR = (HMF, CRJ)
NKD = (HFG, JVD)
VXK = (VXS, RCQ)
CNG = (HJM, SSB)
DBP = (PPP, LVK)
MNH = (CNT, NMH)
NRX = (CLC, QNF)
GSS = (QKL, PJV)
VJM = (LHL, PTP)
PGN = (VXJ, DQK)
BDN = (PSJ, KQG)
VVF = (QPT, FKB)
PMN = (KDP, XRZ)
DFG = (GLF, XPS)
SGS = (CKL, GHG)
CMQ = (QFP, CVB)
TVF = (PBP, KQQ)
DGL = (BGP, NKD)
NPT = (RBK, NLH)
RBP = (PGQ, XBS)
QXR = (NXD, MKF)
TQV = (XBS, PGQ)
SDD = (CPM, JJJ)
RTL = (FBF, NSB)
GVT = (VGS, GVX)
LFM = (VRN, MJR)
FJT = (FSX, NJX)
XQG = (LTR, TPN)
MQQ = (BXN, CBD)
DSJ = (JDD, JDD)
FSR = (QCD, DFC)
TVS = (XBJ, XSC)
GTT = (NJQ, BVV)
DVV = (MQQ, QHQ)
JMC = (HRQ, TSJ)
